,subject,mean_freq
0,co2a0000364,[[3.15457744]]
1,co2a0000365,[[3.37305439]]
2,co2a0000368,[[2.39519622]]
3,co2a0000369,[[2.6354324]]
4,co2a0000370,[[4.05842262]]
5,co2a0000371,[[7.54382572]]
6,co2a0000372,[[3.47992134]]
7,co2a0000375,[[2.15550131]]
8,co2a0000377,[[4.59945765]]
9,co2a0000378,[[2.85570218]]
10,co2a0000379,[[5.82523259]]
11,co2a0000380,[[1.99029928]]
12,co2a0000381,[[2.99056556]]
13,co2a0000382,[[2.09671957]]
14,co2a0000384,[[1.92322251]]
15,co2a0000385,[[3.71007831]]
16,co2a0000387,[[2.77780712]]
17,co2a0000388,[[2.49554465]]
18,co2a0000390,[[3.07888586]]
19,co2a0000392,[[2.56768133]]
20,co2a0000394,[[4.35320802]]
21,co2a0000395,[[8.45607776]]
22,co2a0000396,[[2.68474151]]
23,co2a0000398,[[4.99175208]]
24,co2a0000400,[[2.60702982]]
25,co2a0000402,[[3.65613898]]
26,co2a0000403,[[4.34221789]]
27,co2a0000404,[[3.9629676]]
28,co2a0000405,[[3.50229219]]
29,co2a0000406,[[2.06818778]]
30,co2a0000407,[[2.75384551]]
31,co2a0000409,[[2.80135325]]
32,co2a0000410,[[3.09943403]]
33,co2a0000411,[[4.61165781]]
34,co2a0000412,[[2.14043901]]
35,co2a0000414,[[2.91338485]]
36,co2a0000415,[[2.54375239]]
37,co2a0000416,[[2.47547764]]
38,co2a0000417,[[2.92548097]]
39,co2a0000418,[[3.29345262]]
40,co2a0000419,[[4.26352188]]
41,co2a0000421,[[2.39760906]]
42,co2a0000422,[[3.22092392]]
43,co2a0000423,[[2.66114335]]
44,co2a0000424,[[2.85212353]]
45,co2a0000425,[[2.69508646]]
46,co2a0000426,[[3.39116174]]
47,co2a0000427,[[3.27111227]]
48,co2a0000428,[[1.56524338]]
49,co2a0000429,[[2.63128919]]
50,co2a0000430,[[2.64491648]]
51,co2a0000432,[[2.77972602]]
52,co2a0000433,[[3.1077128]]
53,co2a0000434,[[4.36580322]]
54,co2a0000435,[[3.57346379]]
55,co2a0000436,[[2.81664033]]
56,co2a0000437,[[2.55855985]]
57,co2a0000438,[[2.30557347]]
58,co2a0000439,[[4.16980631]]
59,co2a0000440,[[4.38229845]]
60,co2a0000443,[[3.10664561]]
61,co2a0000444,[[3.62172345]]
62,co2a0000445,[[2.28982521]]
63,co2a0000447,[[3.69445806]]
64,co2c0000337,[[4.7195365]]
65,co2c0000338,[[3.79948883]]
66,co2c0000339,[[2.65577185]]
67,co2c0000340,[[3.57314119]]
68,co2c0000341,[[2.74901158]]
69,co2c0000342,[[2.97929387]]
70,co2c0000344,[[2.8878839]]
71,co2c0000345,[[3.34636298]]
72,co2c0000346,[[4.59126474]]
73,co2c0000347,[[3.13844074]]
74,co2c0000348,[[1.92212869]]
75,co2c0000351,[[3.40845017]]
76,co2c0000352,[[3.09583698]]
77,co2c0000354,[[1.96460529]]
78,co2c0000355,[[3.60774623]]
79,co2c0000356,[[5.05500222]]
80,co2c0000357,[[2.1173244]]
81,co2c0000359,[[4.0165606]]
82,co2c0000362,[[3.82767075]]
83,co2c0000363,[[2.3262892]]
84,co2c0000364,[[2.79166823]]
85,co2c0000367,[[2.63944822]]
86,co2c0000370,[[4.57422324]]
87,co2c0000371,[[4.88675579]]
88,co2c0000373,[[2.82985939]]
89,co2c0000374,[[3.98557106]]
90,co2c0000378,[[2.7629533]]
91,co2c0000379,[[2.6017467]]
92,co2c0000381,[[3.94033654]]
93,co2c0000382,[[2.37363995]]
94,co2c0000383,[[1.65655833]]
95,co2c0000384,[[2.65507599]]
96,co2c0000387,[[2.84931244]]
97,co2c0000388,[[4.16888103]]
98,co2c0000389,[[4.38832808]]
99,co2c0000390,[[2.30967291]]
100,co2c0000391,[[1.24560479]]
101,co2c0000392,[[3.1883365]]
102,co2c0000393,[[4.42248313]]
103,co2c0000394,[[3.22244463]]
104,co2c0000395,[[1.74936888]]
105,co2c0000396,[[0.8256449]]
106,co2c0000397,[[2.6878025]]
107,co3a0000448,[[3.12502178]]
108,co3a0000450,[[3.26820454]]
109,co3a0000451,[[2.49710794]]
110,co3a0000453,[[3.1319352]]
111,co3a0000454,[[1.91144184]]
112,co3a0000455,[[3.60773772]]
113,co3a0000456,[[3.03861341]]
114,co3a0000457,[[4.09328442]]
115,co3a0000458,[[2.51350248]]
116,co3a0000459,[[3.41987194]]
117,co3a0000460,[[2.76131046]]
118,co3a0000461,[[3.09055936]]
119,co3c0000402,[[2.16796428]]
